Summary,Created,Resolved,,Data,Planeado,Realizado,,Data,Planeado,Realizado,Teste
Página de Login,13-05-20 12:16,20-05-20 18:23,,,,,,,,,
Frontend,06-05-20 19:10,25-05-20 13:27,,,,,,,,,
Mockups,06-05-20 19:10,25-05-20 13:30,,,,,,,,,
Implementação das Notificações - 3,06-05-20 18:48,10-05-20 00:00,,,,,,,,,
Implementação das Notificações - 2,06-05-20 18:48,10-05-20 00:55,,,,,,,,,
Implementação das Notificações - 1,06-05-20 18:47,09-05-20 02:28,,,,,,,,,
Manual Técnico,06-05-20 18:36,10-05-20 11:04,,,,,,,,,
Testes de Aceitação,06-05-20 18:36,10-05-20 15:56,,,,,,,,,
Testes Unitários,06-05-20 18:36,09-05-20 20:11,,,,,,,,,
BPDs,06-05-20 18:35,08-05-20 19:09,,,,,,,,,
Diagrama de Coleções,06-05-20 18:35,20-05-20 18:38,,,,,,,,,
Requisitos funcionais (Implementados),06-05-20 18:34,11-05-20 22:07,,,,,,,,,
Introdução,06-05-20 18:33,08-05-20 19:40,,,,,,,,,
Sumário Executivo,06-05-20 18:30,08-05-20 19:27,,,,,,,,,
